"","year","model","anomaly"
"164",1916,"CMCC-CM2-SR5.nc",17.7009322325139
"165",1916,"CMCC-ESM2.nc",17.4567529905954
"166",1916,"CNRM-CM6-1.nc",17.6835684764403
"167",1916,"EC-Earth3-CC.nc",18.0461080851462
"168",1916,"INM-CM5-0.nc",16.837580373429
"169",1916,"MIROC-ES2L.nc",17.3346488425755
"170",1916,"MIROC6.nc",17.943768830676
"171",1917,"ACCESS-CM2.nc",16.812755232694
"172",1917,"CESM2-WACCM.nc",18.2344826725378
"173",1917,"CIESM.nc",18.6706821368754
"174",1917,"CMCC-CM2-SR5.nc",17.6906601703115
"175",1917,"CMCC-ESM2.nc",17.6399883442296
"176",1917,"CNRM-CM6-1.nc",17.3673455998068
"177",1917,"EC-Earth3-CC.nc",17.7449931493312
"178",1917,"INM-CM5-0.nc",16.5617085209256
"179",1917,"MIROC-ES2L.nc",17.4254730923266
"180",1917,"MIROC6.nc",17.8477977925299
"181",1918,"ACCESS-CM2.nc",16.9943219249209
"182",1918,"CESM2-WACCM.nc",18.1218177793766
"183",1918,"CIESM.nc",18.7737003373389
"184",1918,"CMCC-CM2-SR5.nc",17.9928713105334
"185",1918,"CMCC-ESM2.nc",17.6091097678951
"186",1918,"CNRM-CM6-1.nc",17.8105098751356
"187",1918,"EC-Earth3-CC.nc",17.754550443914
"188",1918,"INM-CM5-0.nc",16.9943341517048
"189",1918,"MIROC-ES2L.nc",17.4550233105453
"190",1918,"MIROC6.nc",17.5732622071479
"191",1919,"ACCESS-CM2.nc",16.8615084815665
"192",1919,"CESM2-WACCM.nc",18.3966329836214
"193",1919,"CIESM.nc",18.5595077401127
"194",1919,"CMCC-CM2-SR5.nc",17.9510797967509
"195",1919,"CMCC-ESM2.nc",17.9696742529491
"196",1919,"CNRM-CM6-1.nc",17.8938676834272
"197",1919,"EC-Earth3-CC.nc",17.940779229027
"198",1919,"INM-CM5-0.nc",17.243016109803
"199",1919,"MIROC-ES2L.nc",17.6809400392884
"200",1919,"MIROC6.nc",17.4279840584346
"201",1920,"ACCESS-CM2.nc",16.7759598197728
"202",1920,"CESM2-WACCM.nc",18.5984012060549
"203",1920,"CIESM.nc",18.504073758516
"204",1920,"CMCC-CM2-SR5.nc",17.8845793983915
"205",1920,"CMCC-ESM2.nc",17.7421154483086
"206",1920,"CNRM-CM6-1.nc",18.1700452570568
"207",1920,"EC-Earth3-CC.nc",18.1417561300229
"208",1920,"INM-CM5-0.nc",17.1795368215039
"209",1920,"MIROC-ES2L.nc",17.7221212007329
"210",1920,"MIROC6.nc",17.5123370135531
"211",1921,"ACCESS-CM2.nc",16.8103070499539
"212",1921,"CESM2-WACCM.nc",18.5246717694294
"213",1921,"CIESM.nc",18.9272808732871
"214",1921,"CMCC-CM2-SR5.nc",18.1163527380168
"215",1921,"CMCC-ESM2.nc",17.7313341506603
"216",1921,"CNRM-CM6-1.nc",18.0627690828652
"217",1921,"EC-Earth3-CC.nc",18.2511130454643
"218",1921,"INM-CM5-0.nc",17.122496381982
"219",1921,"MIROC-ES2L.nc",17.6171897750715
"220",1921,"MIROC6.nc",17.7958185387108
"221",1922,"ACCESS-CM2.nc",16.8661991864774
"222",1922,"CESM2-WACCM.nc",18.465447574413
"223",1922,"CIESM.nc",18.7922398453423
"224",1922,"CMCC-CM2-SR5.nc",17.8144871601767
"225",1922,"CMCC-ESM2.nc",17.5576570105518
"226",1922,"CNRM-CM6-1.nc",17.7480866524622
"227",1922,"EC-Earth3-CC.nc",18.2428727197452
"228",1922,"INM-CM5-0.nc",16.9694819886314
"229",1922,"MIROC-ES2L.nc",17.2382788101591
"230",1922,"MIROC6.nc",17.684475146318
"231",1923,"ACCESS-CM2.nc",16.8604410633842
"232",1923,"CESM2-WACCM.nc",18.5333775842661
"233",1923,"CIESM.nc",19.0076700213617
"234",1923,"CMCC-CM2-SR5.nc",17.8444984075596
"235",1923,"CMCC-ESM2.nc",17.296858488664
"236",1923,"CNRM-CM6-1.nc",17.8322843481095
"237",1923,"EC-Earth3-CC.nc",18.1965774008008
"238",1923,"INM-CM5-0.nc",17.2100417846044
"239",1923,"MIROC-ES2L.nc",17.276517574857
"240",1923,"MIROC6.nc",18.0037113470802
"241",1924,"ACCESS-CM2.nc",16.9922683189732
"242",1924,"CESM2-WACCM.nc",18.3900865884177
"243",1924,"CIESM.nc",18.9948410767791
"244",1924,"CMCC-CM2-SR5.nc",17.7861055010168
"245",1924,"CMCC-ESM2.nc",17.4019937081486
"246",1924,"CNRM-CM6-1.nc",17.961464238841
"247",1924,"EC-Earth3-CC.nc",18.2698467505224
"248",1924,"INM-CM5-0.nc",16.9771523942313
"249",1924,"MIROC-ES2L.nc",17.6464643979219
"250",1924,"MIROC6.nc",17.8932603357136
"251",1925,"ACCESS-CM2.nc",16.784437068789
"252",1925,"CESM2-WACCM.nc",18.5057944400073
"253",1925,"CIESM.nc",18.8762014484709
"254",1925,"CMCC-CM2-SR5.nc",17.7097948381132
"255",1925,"CMCC-ESM2.nc",17.4290973300298
"256",1925,"CNRM-CM6-1.nc",17.9887279569537
"257",1925,"EC-Earth3-CC.nc",17.8414150216445
"258",1925,"INM-CM5-0.nc",16.8288214476786
"259",1925,"MIROC-ES2L.nc",17.5401784438287
"260",1925,"MIROC6.nc",17.8257654227581
"261",1926,"ACCESS-CM2.nc",16.9327433541552
"262",1926,"CESM2-WACCM.nc",18.4322299597375
"263",1926,"CIESM.nc",18.9344864951994
"264",1926,"CMCC-CM2-SR5.nc",17.8475888495509
"265",1926,"CMCC-ESM2.nc",17.7539225883765
"266",1926,"CNRM-CM6-1.nc",18.0132532943737
"267",1926,"EC-Earth3-CC.nc",17.7055891498006
"268",1926,"INM-CM5-0.nc",17.3739750682081
"269",1926,"MIROC-ES2L.nc",17.6324285825339
"270",1926,"MIROC6.nc",17.6719669709174
"271",1927,"ACCESS-CM2.nc",16.9695171248394
"272",1927,"CESM2-WACCM.nc",18.5861473407957
"273",1927,"CIESM.nc",19.1557007087374
"274",1927,"CMCC-CM2-SR5.nc",17.7681648733691
"275",1927,"CMCC-ESM2.nc",17.7389656732012
"276",1927,"CNRM-CM6-1.nc",17.8582511103007
"277",1927,"EC-Earth3-CC.nc",18.0120407840666
"278",1927,"INM-CM5-0.nc",17.2182536235985
"279",1927,"MIROC-ES2L.nc",17.8566111281063
"280",1927,"MIROC6.nc",17.6533046075211
"281",1928,"ACCESS-CM2.nc",17.3020477250833
"282",1928,"CESM2-WACCM.nc",18.7309373022603
"283",1928,"CIESM.nc",19.0068258398235
"284",1928,"CMCC-CM2-SR5.nc",18.257981736743
"285",1928,"CMCC-ESM2.nc",17.5448094279417
"286",1928,"CNRM-CM6-1.nc",18.0203660312617
"287",1928,"EC-Earth3-CC.nc",18.2025194590336
"288",1928,"INM-CM5-0.nc",17.1289076251609
"289",1928,"MIROC-ES2L.nc",17.4862010579292
"290",1928,"MIROC6.nc",17.8769985228746
"291",1929,"ACCESS-CM2.nc",17.4195938497218
"292",1929,"CESM2-WACCM.nc",18.5678240013808
"293",1929,"CIESM.nc",18.7389919389404
"294",1929,"CMCC-CM2-SR5.nc",18.1803308453335
"295",1929,"CMCC-ESM2.nc",17.9726819657135
"296",1929,"CNRM-CM6-1.nc",17.9196634100357
