"","year_fac","estimate__","ymin.95","ymax.95","ymin.90","ymax.90","ymin.80","ymax.80","year","se__"
"35","2004",0.494880224705308,0.320780821217454,0.671248128795127,0.350884044187353,0.643406357527098,0.382997629091321,0.609696749868846,2004,0.087835758436093
"36","2005",0.851938111728738,0.729091234535584,0.927269574666945,0.754802950254992,0.917341893357316,0.780395479330392,0.905002256839228,2005,0.0472214317126259
"37","2006",0.441302182045967,0.279845162707433,0.623844593697585,0.304072838090643,0.593247651203927,0.334463774741059,0.556514278035344,2006,0.0869093290942277
"38","2007",0.336950941651736,0.194086999683037,0.521199604101489,0.215138713963497,0.48845978602199,0.239925046619611,0.451202674471408,2007,0.0819049153395572
"39","2008",0.161507752249384,0.0782787150374102,0.298396811802556,0.0887565972641577,0.271366708172142,0.103374492658016,0.243221212407424,2008,0.0520331700249586
"40","2009",0.130989904607558,0.0619973087742757,0.254479655967269,0.0713422654830913,0.228439253101527,0.0824577635682229,0.202044644004968,2009,0.0452472223029259
"41","2010",0.253805630519373,0.134370590956865,0.425157445600387,0.151230252646516,0.393357335415921,0.171375581652521,0.358254798515995,2010,0.0720711507018996
"42","2011",0.237451557557963,0.126943680477058,0.403657349282995,0.14167053943026,0.371689985083111,0.160010055233271,0.337982117984418,2011,0.0671996673367785
"43","2012",0.268266539003178,0.144667122878913,0.442720420822061,0.163100692695789,0.409064152747634,0.184172569605166,0.375510704429586,2012,0.0734605095566585
"44","2013",0.252200091644903,0.135177283892477,0.423240361313657,0.152031405103203,0.390076343639373,0.171710932243723,0.355591330121904,2013,0.0709484172309099
"45","2014",0.372007863584306,0.219658731698016,0.559810046697504,0.243348963275609,0.527237874019199,0.27011269336558,0.49018831295932,2014,0.0849690264252868
"46","2015",0.959821767608683,0.912752729192019,0.983357725493672,0.923015248087014,0.980344566158798,0.933067186906307,0.976957892538595,2015,0.0161892051130211
"47","2016",0.992041664709143,0.98092411131225,0.996957968335104,0.9834701917038,0.996386618862992,0.985904235038844,0.995649195573083,2016,0.00354622562537772
"48","2017",0.98532313695568,0.965559868801067,0.994327034685327,0.969927046606554,0.99332671298685,0.974224216864909,0.991964474056182,2017,0.00644187178887294
"49","2018",0.983994602563122,0.96272506142721,0.993749973573361,0.967193759527305,0.99269349436484,0.971984231602306,0.991226124594183,2018,0.0069774386730766
"50","2019",0.984578113190051,0.963263226316701,0.994018079415838,0.968202781995978,0.992925354674916,0.972820894008762,0.991523263201888,2019,0.00683110083983971
"51","2020",0.984220362579584,0.963162648833318,0.993834730959182,0.968010152525147,0.992840762780655,0.972435015597574,0.99134240712131,2020,0.00688676394654448
