"region","model","climatology_diff","sd_diff","ar_diff","trend_diff"
"Gulf_of_Alaska","NorESM2-LM",0.577523127220879,0.33575874374993,0.215506567683234,0.0206991492718334
"Gulf_of_Alaska","NorESM2-MM",0.772114158691003,0.515249617687436,0.354414741283439,0.00732165386892354
"Gulf_of_Alaska","UKESM1-0-LL",0.847981527542185,0.282509513535171,0.0347773666039401,0.0221125359773601
"British_Columbia_Coast","ACCESS-CM2",0.106889115175159,0.0573832200710835,0.316567148263946,0.00207285037827373
"British_Columbia_Coast","ACCESS-ESM1-5",0.941016668701359,0.240374861693512,0.0951966513321154,0.0167217386070509
"British_Columbia_Coast","BCC-CSM2-MR",2.49146182956776,0.20850883603345,0.142120768134144,0.00390122129860719
"British_Columbia_Coast","CAMS-CSM1-0",2.20833419757563,0.179450459147354,0.0177746985781734,0.0129630019109452
"British_Columbia_Coast","CanESM5-CanOE",1.01048554708991,0.113860988305909,0.1839828811246,0.00981656180473469
"British_Columbia_Coast","CanESM5",0.808393933600705,0.070863340659271,0.0409601663181997,0.00440563547004314
"British_Columbia_Coast","CESM2-WACCM",0.409131300860837,0.0915468697192034,0.146160234155069,0.0001551144737005
"British_Columbia_Coast","CESM2",0.643168743453939,0.162014265473171,0.0123853960408041,0.00596217261241783
"British_Columbia_Coast","CIESM",1.68771924067775,0.0139239091704165,0.248783310096225,0.00793398485515581
"British_Columbia_Coast","CMCC-CM2-SR5",0.87047982045601,0.410078893953709,0.0521778062046373,0.0169069846921393
"British_Columbia_Coast","CMCC-ESM2",0.684875875751294,0.376637033317976,0.0470235640291173,0.00394605293341779
"British_Columbia_Coast","CNRM-CM6-1",1.80453510320536,0.145720475176474,0.0514876433212235,0.00346236157712242
"British_Columbia_Coast","EC-Earth3-CC",1.08307983797331,0.0740879084912124,0.0306888995766857,0.00605349358257071
"British_Columbia_Coast","GISS-E2-1-G",3.75300451939847,0.0150545930638598,0.104040747149198,0.000479657172104565
"British_Columbia_Coast","HadGEM3-GC31-LL",0.199669225854546,0.139618632130642,0.112991222702883,0.0164843795401074
"British_Columbia_Coast","HadGEM3-GC31-MM",1.27751487267702,0.0414524075608766,0.258678125960503,0.00146282803975384
"British_Columbia_Coast","INM-CM4-8",0.893494091956153,0.0917755895506323,0.0408898452811579,0.00705840394342554
"British_Columbia_Coast","INM-CM5-0",0.595115932775236,0.0456102186834089,0.00923076931758582,0.00300317790054028
"British_Columbia_Coast","MIROC-ES2L",1.26652997553569,0.257236325907918,0.0112828389938421,0.00845249019389357
"British_Columbia_Coast","MIROC6",1.05311445249759,0.22038405920155,0.161631341785929,0.00382263444357455
"British_Columbia_Coast","NorESM2-LM",0.424297269343162,0.215008487181423,0.0778528613222168,0.0152656796304359
"British_Columbia_Coast","NorESM2-MM",0.865339917259975,0.302855365453417,0.144481516800351,0.00892201558205544
