"year","ACCESS-CM2_245","ACCESS-ESM1-5_245","BCC-CSM2-MR_245","CAMS-CSM1-0_245","CanESM5-CanOE_245","CanESM5_245","CESM2-WACCM_245","CESM2_245","CIESM_245","CMCC-CM2-SR5_245","CMCC-ESM2_245","GISS-E2-1-G_245","HadGEM3-GC31-LL_245","INM-CM4-8_245","INM-CM5-0_245","MIROC-ES2L_245","MIROC6_245","NorESM2-LM_245","NorESM2-MM_245","UKESM1-0-LL_245"
1937,-0.0751599895092919,-0.0696031797812026,0.0290916594987563,0.129509110650906,-0.000780012530807939,0.0211406105658274,-0.0503800345888141,-0.0640294205760514,0.157437705235296,0.111966944791987,0.11943822602089,-0.0158479629361972,-0.0908970266764493,0.121350341258006,0.0972778526422177,-0.00139877609217974,-0.00359223330241166,-0.100179795777333,-0.0981487107254805,-0.195841316757252
1938,-0.0736726161206439,-0.0686535828087619,0.0324353362043395,0.135060414085346,0.00307381583723295,0.0245550003045571,-0.0496113322925778,-0.0644595914743428,0.163966483580463,0.118311155466341,0.126092449376718,-0.0144955990232472,-0.0903902262019561,0.125351664091275,0.101330168695114,0.000319841861748733,-0.00283361517797137,-0.102243079104502,-0.0985974335322211,-0.19880426683036
1939,-0.0720858819121729,-0.0675178409328449,0.0358905517739385,0.140475785793593,0.0071235072207504,0.0282889614448518,-0.0486428473859261,-0.0646496599307829,0.170526168140066,0.124836604894178,0.132803719719945,-0.0129831975232991,-0.0896934049210766,0.129338714080068,0.105411134064522,0.00218913561320076,-0.00195844182887861,-0.104083992975892,-0.098913853763833,-0.201436766173163
1940,-0.0704003269791612,-0.066185776439662,0.0394599753220468,0.145736812684183,0.0113775893103551,0.0323647407381823,-0.0474611343752625,-0.0645798323954444,0.17711264605343,0.131550903088649,0.139567577187754,-0.0113006583547777,-0.0887968429832289,0.133308410812305,0.109519789136518,0.00421798432569018,-0.000958006117017082,-0.105682397810909,-0.0990913209624689,-0.203713987864226
1941,-0.068616491416891,-0.0646472116154233,0.0431462759631581,0.150825081665651,0.0158445897966579,0.0368045849360196,-0.0460527477669906,-0.0642303153184002,0.183721804459882,0.138461660062903,0.146379561917331,-0.00943788143610816,-0.0876908205378312,0.137257673875908,0.113655174297178,0.00641526716273079,0.000176399095729522,-0.107018154028959,-0.0991231846702814,-0.205611104982111
1942,-0.0667349153206443,-0.062891968746339,0.0469521228117657,0.155722179646532,0.0205330363702693,0.0416307407898345,-0.0444042420675139,-0.0635813151497232,0.190349530498751,0.14557648583009,0.153235214045863,-0.00738476668571535,-0.0863656177343013,0.141183422858797,0.117816329932576,0.00878986328783644,0.0014534809474775,-0.108071122049446,-0.0990027944294232,-0.207103290605382
1943,-0.0647561387857035,-0.0609098701186193,0.0508801849823632,0.160409693535361,0.0254514567218001,0.0468654550510977,-0.0425021717832359,-0.0626130383394863,0.196991711309362,0.152902990403361,0.160130073710533,-0.0051312140220243,-0.0848115147220575,0.145082577348893,0.12200229642879,0.0113506518645209,0.00288194657634316,-0.108821162291778,-0.0987234997820468,-0.208165717812601
1944,-0.0630524545791721,-0.0591375605750895,0.0547437668388706,0.164864627745131,0.0301101417473144,0.052097717672134,-0.0407255132259861,-0.061751174495592,0.203559745090393,0.160215359921469,0.166866076024729,-0.0030096476582765,-0.0835146525101496,0.148699935155712,0.125975998814718,0.0138036446893651,0.00413842649961078,-0.10976990639764,-0.0987188159643158,-0.209436986969422
1945,-0.0619560464648808,-0.0579776324322534,0.0583726032919625,0.169087875902888,0.0340609171514743,0.0569341877185338,-0.0394290484193518,-0.061399887534612,0.209978684805616,0.167301754230891,0.173269397785761,-0.00132907307262828,-0.082920651864069,0.151811048760756,0.129526089630015,0.0158756310019498,0.00492350116267829,-0.111388770336932,-0.0993842738923869,-0.211516620605689
1946,-0.0614072910332021,-0.0573688291868387,0.0617940092762641,0.173096858738249,0.0373746128377876,0.0614236156116663,-0.0385630404373731,-0.0615070953696225,0.216264899742004,0.174190743906358,0.179371941656695,-4.42620808768762e-05,-0.0829590125678958,0.154458969759916,0.132690200526885,0.0176066561302888,0.00528180259583246,-0.113612291021375,-0.100656246628403,-0.214321175046252
1947,-0.0613465648745086,-0.0572498943355733,0.0650352997264007,0.176908996980831,0.0401220587097621,0.0656147517729006,-0.0380777523540901,-0.0620207159136997,0.222434759186529,0.180910899522605,0.1852056103006,0.000890013501180465,-0.0835592344057106,0.156686749749086,0.135505963157536,0.0190367654023961,0.00525796282936004,-0.116375005362694,-0.102471107234505,-0.217767206615961
1948,-0.0617142445791729,-0.057559571375185,0.0681237895769976,0.180541711360252,0.0423740846709056,0.0695563466236058,-0.037923447243543,-0.0628886670799198,0.228504632426164,0.187490791654363,0.190802306380541,0.0015189818577465,-0.0846508171615936,0.158537440324158,0.138011009174173,0.0202060041462855,0.0048966138935478,-0.119611450272611,-0.104765228772837,-0.221771271639664
1949,-0.0624507067375675,-0.0582366038024016,0.0710867937626798,0.184012422606127,0.0442015206247258,0.0732971505851512,-0.0380503881797716,-0.0640588667813589,0.234490888747881,0.193958990876365,0.196193932559588,0.00188787117302399,-0.0861632606196251,0.160054093081025,0.140242970229002,0.0211544176899709,0.00424238781868249,-0.123256162662848,-0.107474984305541,-0.226249926442213
1950,-0.0634963279400649,-0.0592197351139509,0.0739516272180728,0.187338551448074,0.0456751964747304,0.0768859140789059,-0.0384088382368162,-0.0654792329310935,0.240409897438653,0.200344067763345,0.201412391500807,0.00204190963121569,-0.0880260645638855,0.161279759615581,0.14223947797423,0.0219220513614661,0.00333991663505088,-0.12724367944513,-0.110536746894759,-0.231119727348455
1951,-0.0647914847770377,-0.0604477088065608,0.0767456048778019,0.19053751861571,0.0468659421244274,0.080371387526239,-0.0389490604887169,-0.0670976834421995,0.246278027785451,0.206674592890035,0.206489585867265,0.00202632541652435,-0.090168728778455,0.162257491523717,0.144038164062062,0.022548950488785,0.00223383237293972,-0.131508537531177,-0.113886889602634,-0.236297230683242
1952,-0.0662765538388585,-0.061859268376959,0.0794960416764921,0.193626744838652,0.0478445874773243,0.0838023213485198,-0.0396213180095136,-0.0688621362277533,0.252111649075249,0.212979136831169,0.21145741832203,0.00188634671315274,-0.092520753047414,0.163030340401328,0.145676660144705,0.0230751603999414,0.000968767062635783,-0.135985273832715,-0.117461785491307,-0.241698992771422
1953,-0.0678919117158998,-0.0633931573218735,0.0822302525487688,0.196623650846516,0.0486819624369291,0.0872274659671174,-0.0403758738732466,-0.0707205092008311,0.257927130595018,0.219286270161478,0.216347791528169,0.0016672017053036,-0.0950116371548428,0.163641357844305,0.147192597874365,0.0235407264229493,-0.000410647265574181,-0.140608425261465,-0.121197807622923,-0.247241569937845
1954,-0.0695779349985342,-0.0649881191380319,0.0849755524292573,0.19954565736892,0.0494488969067494,0.0906955718034009,-0.0411629911539558,-0.072620720274509,0.263740841631731,0.225624563455696,0.221192608148749,0.00141411857717968,-0.0975708808848217,0.164133595448542,0.148623608903248,0.0239856938858224,-0.00185977858140341,-0.14531252872915,-0.125031329059622,-0.252841518507361
1955,-0.0712750002771341,-0.0665828973221622,0.0877592562525828,0.202410185135481,0.0502162207902931,0.0942553892787395,-0.0419329329256814,-0.0745106873618633,0.269569151472361,0.232022587288556,0.226023770846839,0.00117232551298377,-0.100127984021431,0.164550104809932,0.15000732488356,0.0244501081165747,-0.00333399485456514,-0.150032121147493,-0.128898722863547,-0.25841539480482
1956,-0.0729234841420723,-0.0681162353709921,0.0906086789533705,0.205234654875814,0.051054763991068,0.0979556688145024,-0.0426359622624634,-0.0763383283759703,0.275428429403879,0.238508912234791,0.230873182285505,0.000987050696918613,-0.102612446348751,0.164933937524367,0.151381377467506,0.02497401444322,-0.00478866405477262,-0.154701739428218,-0.132736362096842,-0.26387975515507
1957,-0.0744637631837212,-0.0695268767812495,0.0935511354662457,0.208036487319539,0.0520353564125817,0.101845160832059,-0.0432223422383419,-0.078051561229906,0.281335044713258,0.245112108869132,0.235772745127814,0.000903522313186959,-0.104953767650862,0.165328145187741,0.152783398307294,0.0255974581937721,-0.00617915415173906,-0.159255920483046,-0.136480619821647,-0.269151155882963
1958,-0.0758362139924533,-0.0707535650496622,0.0966139407258337,0.21083310319627,0.053228827958342,0.105972615752778,-0.0436423359273571,-0.0795983038367468,0.287305366687471,0.251860747766315,0.240754362036835,0.000966968545991553,-0.107081447711845,0.165775779395945,0.15425101905513,0.026360484696245,-0.00746083311517774,-0.163629201223702,-0.140067869100106,-0.274146153313347
1959,-0.0769812131586413,-0.071735043672958,0.0998244096667597,0.213641923235625,0.0547060085318568,0.110386783998028,-0.0438462064035489,-0.0809264741095688,0.293355764613489,0.25878339950107,0.245849935675634,0.00122261757953517,-0.108924986315779,0.166319891744874,0.155821871363218,0.0273031392786525,-0.00858906891480188,-0.167756118561907,-0.143434482994361,-0.278781303771071
1960,-0.0778391372726576,-0.0724100561478647,0.103209857223649,0.216480368167222,0.0565377280366339,0.11513641598918,-0.0437842167409576,-0.0819839899614483,0.299502607778285,0.265908634648131,0.251091368707278,0.00171569759802057,-0.110413883246746,0.16700353383042,0.157533586883766,0.0284654672690085,-0.00951922952032472,-0.171571209409385,-0.146516834566555,-0.282973163580987
