"Year","Estimate","LCI","UCI","variable"
1996,0.417968822006139,0.396097937902759,0.440727070721424,"Fraction of Attributable Risk"
1997,0.700686267462977,0.674205875197251,0.724427253900026,"Fraction of Attributable Risk"
1998,0.597300446642086,0.575764330648423,0.618398749652602,"Fraction of Attributable Risk"
1999,0.33422187532423,0.309513464244371,0.359631608804601,"Fraction of Attributable Risk"
2000,0.451871227753181,0.428261642899514,0.475415444904327,"Fraction of Attributable Risk"
2001,0.513028295887459,0.491366515101468,0.535052929415382,"Fraction of Attributable Risk"
2002,0.585823044198342,0.565490551796345,0.606477687234869,"Fraction of Attributable Risk"
2003,0.788715776800551,0.770487339011647,0.805520903284781,"Fraction of Attributable Risk"
2004,0.732959115469632,0.715605946731397,0.749827893910628,"Fraction of Attributable Risk"
2005,0.840074803566505,0.824288653303363,0.854365806006414,"Fraction of Attributable Risk"
2006,0.550466904871737,0.52608280386452,0.57448860925115,"Fraction of Attributable Risk"
2007,0.448609120338989,0.421181164577781,0.476326867120116,"Fraction of Attributable Risk"
2008,0.388343873222989,0.360667082202281,0.416628403522411,"Fraction of Attributable Risk"
2009,0.483377097738965,0.455503008147072,0.511090478670703,"Fraction of Attributable Risk"
2010,0.711080861994844,0.69222206692738,0.729521347381605,"Fraction of Attributable Risk"
2011,0.642635543371206,0.619326440769484,0.665485213777756,"Fraction of Attributable Risk"
2012,0.391951446906173,0.363699853271484,0.421505734118148,"Fraction of Attributable Risk"
2013,0.748063212070317,0.729956701181849,0.7654908309236,"Fraction of Attributable Risk"
2014,0.948888731231585,0.942039575194752,0.955060441394187,"Fraction of Attributable Risk"
2015,0.950762098342192,0.944594614379477,0.956284149737317,"Fraction of Attributable Risk"
2016,0.98406095184038,0.977404068247948,0.989395619408417,"Fraction of Attributable Risk"
2017,0.869176713578961,0.858204538457484,0.879392521372872,"Fraction of Attributable Risk"
2018,0.95769372085092,0.952789689525412,0.962167224907771,"Fraction of Attributable Risk"
2019,0.98795766518215,0.983093243703207,0.991938372153109,"Fraction of Attributable Risk"
