"model","year","warming"
"BCC-CSM2-MR",1972,0.160706376909848
"BCC-CSM2-MR",1973,0.162933329892956
"BCC-CSM2-MR",1974,0.164032806192862
"BCC-CSM2-MR",1975,0.163889120711614
"BCC-CSM2-MR",1976,0.16246603482735
"BCC-CSM2-MR",1977,0.159816145183667
"BCC-CSM2-MR",1978,0.15608541647017
"BCC-CSM2-MR",1979,0.151512278721271
"BCC-CSM2-MR",1980,0.146421051896105
"BCC-CSM2-MR",1981,0.141209835655628
"BCC-CSM2-MR",1982,0.136333383796506
"BCC-CSM2-MR",1983,0.132281842724075
"BCC-CSM2-MR",1984,0.129556544305499
"BCC-CSM2-MR",1985,0.128644280928379
"BCC-CSM2-MR",1986,0.129991634917148
"BCC-CSM2-MR",1987,0.133980972440261
"BCC-CSM2-MR",1988,0.140909638169001
"BCC-CSM2-MR",1989,0.150973704009463
"BCC-CSM2-MR",1990,0.164257344268224
"BCC-CSM2-MR",1991,0.180728549250008
"BCC-CSM2-MR",1992,0.200241474426172
"BCC-CSM2-MR",1993,0.22254528233372
"BCC-CSM2-MR",1994,0.247298900930309
"BCC-CSM2-MR",1995,0.274090726792957
"BCC-CSM2-MR",1996,0.302461973324355
"BCC-CSM2-MR",1997,0.331932127251346
"BCC-CSM2-MR",1998,0.362024848706945
"BCC-CSM2-MR",1999,0.392292640535622
"BCC-CSM2-MR",2000,0.422338721743656
"BCC-CSM2-MR",2001,0.451834759872105
"BCC-CSM2-MR",2002,0.480533430796862
"BCC-CSM2-MR",2003,0.508275158279696
"BCC-CSM2-MR",2004,0.534988810476262
"BCC-CSM2-MR",2005,0.560686564512864
"BCC-CSM2-MR",2006,0.585453560607132
"BCC-CSM2-MR",2007,0.609433323462463
"BCC-CSM2-MR",2008,0.632810204614158
"BCC-CSM2-MR",2009,0.655790275241059
"BCC-CSM2-MR",2010,0.678582162782173
"BCC-CSM2-MR",2011,0.701379273410146
"BCC-CSM2-MR",2012,0.7243446818903
"BCC-CSM2-MR",2013,0.747599714927505
"BCC-CSM2-MR",2014,0.771216925359293
"BCC-CSM2-MR",2015,0.795217779558282
"BCC-CSM2-MR",2016,0.819574989498996
"BCC-CSM2-MR",2017,0.844219045275169
"BCC-CSM2-MR",2018,0.869048172870038
"BCC-CSM2-MR",2019,0.893940681053223
"BCC-CSM2-MR",2020,0.918768489657584
"BCC-CSM2-MR",2021,0.943410560772802
"BCC-CSM2-MR",2022,0.96776498758599
"BCC-CSM2-MR",2023,0.991758626873804
"BCC-CSM2-MR",2024,1.01535337628358
"BCC-CSM2-MR",2025,1.03854847500587
"BCC-CSM2-MR",2026,1.0613785190316
"BCC-CSM2-MR",2027,1.08390719903122
"BCC-CSM2-MR",2028,1.10621705766211
"BCC-CSM2-MR",2029,1.12839579221569
"BCC-CSM2-MR",2030,1.15051976906737
"CAMS-CSM1-0",1940,0.38286892476899
"CAMS-CSM1-0",1941,0.362742333831516
"CAMS-CSM1-0",1942,0.342801169284749
"CAMS-CSM1-0",1943,0.323320828868183
"CAMS-CSM1-0",1944,0.30464810397196
"CAMS-CSM1-0",1945,0.287158291955208
"CAMS-CSM1-0",1946,0.271216895519368
"CAMS-CSM1-0",1947,0.257147177295203
"CAMS-CSM1-0",1948,0.24520467882419
"CAMS-CSM1-0",1949,0.235559509520003
"CAMS-CSM1-0",1950,0.228286802262187
"CAMS-CSM1-0",1951,0.223365261591876
"CAMS-CSM1-0",1952,0.220683243392386
"CAMS-CSM1-0",1953,0.220051345640863
"CAMS-CSM1-0",1954,0.221220098389735
"CAMS-CSM1-0",1955,0.223901050793712
"CAMS-CSM1-0",1956,0.22778938780887
"CAMS-CSM1-0",1957,0.232586182470583
"CAMS-CSM1-0",1958,0.238018503174166
"CAMS-CSM1-0",1959,0.243855839449647
"CAMS-CSM1-0",1960,0.249921664177539
"CAMS-CSM1-0",1961,0.256099386183359
"CAMS-CSM1-0",1962,0.262332429579341
"CAMS-CSM1-0",1963,0.26861866666696
"CAMS-CSM1-0",1964,0.274999891059471
"CAMS-CSM1-0",1965,0.281547411241084
"CAMS-CSM1-0",1966,0.288345142127602
"CAMS-CSM1-0",1967,0.295471751515765
"CAMS-CSM1-0",1968,0.302983467546828
"CAMS-CSM1-0",1969,0.310899071005133
"CAMS-CSM1-0",1970,0.319188391534561
"CAMS-CSM1-0",1971,0.327765318476012
"CAMS-CSM1-0",1972,0.336485951815097
"CAMS-CSM1-0",1973,0.345152089211135
"CAMS-CSM1-0",1974,0.353519806778844
"CAMS-CSM1-0",1975,0.361312479793954
"CAMS-CSM1-0",1976,0.368237237535185
"CAMS-CSM1-0",1977,0.374003581341014
"CAMS-CSM1-0",1978,0.378342736341651
"CAMS-CSM1-0",1979,0.381026265849635
"CAMS-CSM1-0",1980,0.381882553910855
"CAMS-CSM1-0",1981,0.380809947228787
"CAMS-CSM1-0",1982,0.37778562502932
"CAMS-CSM1-0",1983,0.372869609757054
"CAMS-CSM1-0",1984,0.366203713170674
"CAMS-CSM1-0",1985,0.358005599437308
"CAMS-CSM1-0",1986,0.348558507546401
"CAMS-CSM1-0",1987,0.338197481073164
"CAMS-CSM1-0",1988,0.327293180628608
"CAMS-CSM1-0",1989,0.316234487006592
"CAMS-CSM1-0",1990,0.305411133220247
"CAMS-CSM1-0",1991,0.295197532308707
"CAMS-CSM1-0",1992,0.285938804564509
"CAMS-CSM1-0",1993,0.277939769826871
"CAMS-CSM1-0",1994,0.271457380785551
"CAMS-CSM1-0",1995,0.266696758739762
"CAMS-CSM1-0",1996,0.263810682259939
"CAMS-CSM1-0",1997,0.262902098924362
"CAMS-CSM1-0",1998,0.264029004523324
"CAMS-CSM1-0",1999,0.267210881151963
"CAMS-CSM1-0",2000,0.272435816782747
"CAMS-CSM1-0",2001,0.27966744769493
"CAMS-CSM1-0",2002,0.288850966978131
"CAMS-CSM1-0",2003,0.299917615152095
"CAMS-CSM1-0",2004,0.312787294368901
"CAMS-CSM1-0",2005,0.327369202720548
"CAMS-CSM1-0",2006,0.34356064444098
