"model","warming","year","UCI","LCI"
"HadGEM3-GC31-MM",0.5,2004.87020567569,2006.88055938552,2002.96969807142
"HadGEM3-GC31-MM",1,2019.7398834579,2022.35157504969,2017.36559888705
"HadGEM3-GC31-MM",1.5,2031.37811990411,2033.72779619208,2029.02283881615
"HadGEM3-GC31-MM",2,2041.15138816067,2043.47976791444,2038.73817085584
"INM-CM4-8",0.5,2001.47471879896,2003.31332758134,1999.72142771445
"INM-CM4-8",1,2020.53119777075,2022.6380573923,2018.35724162376
"INM-CM4-8",1.5,2037.72691407567,2039.61868403137,2035.8278620663
"INM-CM4-8",2,2051.40521422392,2053.99056997261,2048.99823122359
"INM-CM5-0",0.5,1999.09941556239,2001.35415329907,1996.86239830316
"INM-CM5-0",1,2020.16288566571,2023.0643887895,2017.31168556898
"INM-CM5-0",1.5,2037.8872952049,2040.77376088098,2035.16474998827
"INM-CM5-0",2,2051.45398699199,2054.7659787308,2048.25659425922
"MIROC-ES2L",0.5,2003.93325903198,2005.54270706103,2002.37960593261
"MIROC-ES2L",1,2019.60193769463,2021.26071996889,2017.98776976741
"MIROC-ES2L",1.5,2033.98979687852,2035.55770865604,2032.38759330691
"MIROC-ES2L",2,2047.43099654634,2049.13785578566,2045.78478064832
"MIROC6",0.5,2012.48573683699,2014.52949743585,2010.36142518356
"MIROC6",1,2026.57227142549,2028.65948366188,2024.42910567873
"MIROC6",1.5,2043.01883071062,2044.81104763355,2041.25325955327
"MIROC6",2,2057.55703589163,2059.61372898985,2055.55377089746
"NorESM2-LM",0.5,2008.59332418354,2010.44216183094,2006.65410735005
"NorESM2-LM",1,2021.81421176495,2023.67430023987,2019.94000848286
"NorESM2-LM",1.5,2034.96043063894,2036.88016307088,2032.88646118499
"NorESM2-LM",2,2048.10470248075,2049.92762230444,2046.31525688628
"NorESM2-MM",0.5,2010.29020080125,2012.21951355714,2008.558695894
"NorESM2-MM",1,2024.29387377912,2026.13165266812,2022.50605771437
"NorESM2-MM",1.5,2037.10018008878,2038.75523511768,2035.36380220809
"NorESM2-MM",2,2049.15214944826,2050.99798621964,2047.1954029324
"UKESM1-0-LL",0.5,2007.13079189027,2008.19950101106,2006.05833615699
"UKESM1-0-LL",1,2019.05080273476,2020.26456211942,2017.88082221811
"UKESM1-0-LL",1.5,2028.71285631009,2029.93573651728,2027.50011856542
"UKESM1-0-LL",2,2036.93011691478,2038.18061416091,2035.6429816835
