"ACCESS-CM2.nc_piControl","date"
14.4493349855496,04/01/01
15.3932719657584,05/01/01
17.2043421558943,06/01/01
19.2239788429067,07/01/01
20.59812577089,08/01/01
20.4217275874993,09/01/01
19.0668725725845,10/01/01
17.419329011308,11/01/01
15.9391462761277,12/01/01
14.8945753301094,01/01/02
14.3741877373749,02/01/02
14.239770236138,03/01/02
14.57577153266,04/01/02
15.5278864963185,05/01/02
17.3864506653759,06/01/02
19.413912136822,07/01/02
20.7057517996617,08/01/02
20.6134501147204,09/01/02
19.3326054370228,10/01/02
17.4971921583699,11/01/02
15.8877679891019,12/01/02
14.8860785093817,01/01/03
14.346851763527,02/01/03
14.1814428383221,03/01/03
14.5111790649294,04/01/03
15.4884219303843,05/01/03
17.0730831811856,06/01/03
19.0669271989368,07/01/03
20.3483469952066,08/01/03
20.402617064758,09/01/03
19.1407911683672,10/01/03
17.5382304258125,11/01/03
15.9763836067336,12/01/03
14.9930219290171,01/01/04
14.3905818105602,02/01/04
14.2534101940163,03/01/04
14.5666984920224,04/01/04
15.6340534728413,05/01/04
17.5590056205603,06/01/04
19.5606748632803,07/01/04
20.8121253871462,08/01/04
20.8061386252805,09/01/04
19.3860604065067,10/01/04
17.7273926731703,11/01/04
16.0145914361633,12/01/04
14.9370939056195,01/01/05
14.4581952477342,02/01/05
14.2887480474078,03/01/05
14.608347671514,04/01/05
15.6412084236566,05/01/05
17.4321005643718,06/01/05
19.5544438247021,07/01/05
20.88615984366,08/01/05
20.7383805824601,09/01/05
19.3074902006105,10/01/05
17.5847198745739,11/01/05
15.9420860769791,12/01/05
14.9197415584594,01/01/06
14.3364858625068,02/01/06
14.1467609416935,03/01/06
14.5665944156052,04/01/06
15.5343914375947,05/01/06
17.0609415933139,06/01/06
19.2464424985564,07/01/06
20.7413796352824,08/01/06
20.5197844229779,09/01/06
19.1745641309522,10/01/06
17.5037251837587,11/01/06
15.9793861838367,12/01/06
14.9231474454459,01/01/07
14.2899161262236,02/01/07
14.2010918050885,03/01/07
14.6231158397816,04/01/07
15.5600659333156,05/01/07
17.3092788280186,06/01/07
19.3786285793815,07/01/07
20.8666522886605,08/01/07
20.7783594731227,09/01/07
19.1713293918519,10/01/07
17.2821043102846,11/01/07
15.8731598452092,12/01/07
14.8394227586203,01/01/08
14.3251743528959,02/01/08
14.170804906878,03/01/08
14.5899558817872,04/01/08
15.4357282055519,05/01/08
17.0400191497091,06/01/08
19.2970922506617,07/01/08
20.4750720928071,08/01/08
20.3909373779378,09/01/08
18.8657122416636,10/01/08
17.1565519171185,11/01/08
15.8175322667493,12/01/08
14.8480989872672,01/01/09
14.2450695429813,02/01/09
14.0871129297836,03/01/09
14.4583135314084,04/01/09
15.4505470353559,05/01/09
17.2442783146523,06/01/09
19.2473571595563,07/01/09
20.4541881960235,08/01/09
20.3984492723173,09/01/09
18.9980728845218,10/01/09
17.3678927939166,11/01/09
15.8713516688941,12/01/09
14.8289212829233,01/01/10
14.2561526351432,02/01/10
14.1826961606796,03/01/10
14.5520565370608,04/01/10
15.6048073388029,05/01/10
17.5191651680527,06/01/10
19.703987759376,07/01/10
20.9900275573659,08/01/10
20.936159255825,09/01/10
19.325297179993,10/01/10
17.4631913290047,11/01/10
16.0085672288142,12/01/10
14.9492441940594,01/01/11
14.4497949041933,02/01/11
14.3395611279012,03/01/11
14.6925445018323,04/01/11
15.6401939814567,05/01/11
17.4794252676814,06/01/11
19.6378197178628,07/01/11
20.9312331923447,08/01/11
20.7532515055396,09/01/11
19.1568208088916,10/01/11
17.4103509059843,11/01/11
16.0212532079349,12/01/11
14.97638126631,01/01/12
