"year","ACCESS-CM2","ACCESS-ESM1-5","BCC-CSM2-MR","CAMS-CSM1-0","CanESM5-CanOE","CanESM5","CESM2-WACCM","CESM2","CIESM","CMCC-CM2-SR5","CMCC-ESM2","CNRM-CM6-1","EC-Earth3-CC","GISS-E2-1-G","HadGEM3-GC31-LL","HadGEM3-GC31-MM","INM-CM4-8","INM-CM5-0","MIROC-ES2L","MIROC6","NorESM2-LM","NorESM2-MM","UKESM1-0-LL"
1896,-0.049383710468567,-0.0430472128707306,-0.0405414795237028,-0.0392354948164784,-0.0723603477032637,-0.0520808649177035,-0.0446178082518234,-0.0297761153854345,-0.0382397367880521,-0.0690564782362724,-0.0668025025127564,-0.077769071063552,-0.110517434871094,-0.0303801818150303,-0.0399644731259241,-0.0512022933066925,-0.0259253145133296,-0.0395235182682085,-0.0275755553169429,-0.0203675344866741,-0.0145784693429316,-0.0320443892033116,-0.0217673315996721
1897,-0.0526860113343962,-0.0451946745252995,-0.0408099801851067,-0.0371972293081913,-0.0729264513833498,-0.0511588537417139,-0.0462675784795653,-0.0309722569625672,-0.0348404692554938,-0.065835882648591,-0.0644473697200585,-0.084034742493689,-0.110993284539579,-0.031068159240749,-0.0428127373201098,-0.0558745403407704,-0.0228606072349809,-0.0374648716272825,-0.0279078951941494,-0.0204294796704904,-0.0163561253506154,-0.0353555481231487,-0.02737747558835
1898,-0.0558802321250084,-0.0472755382364515,-0.0409951685550803,-0.0350729833510227,-0.0734042257822013,-0.050187244466559,-0.0478649287074873,-0.0321727321955329,-0.0313820612062806,-0.0625294962907517,-0.0619861039646764,-0.090072442452761,-0.111180028798571,-0.0317133501331736,-0.0455862994415731,-0.0604032872109282,-0.0197739163783925,-0.0353565847358154,-0.0282012720538986,-0.020473920745587,-0.0181512733944282,-0.0386121978472609,-0.0329432836028016
1899,-0.0589668350018949,-0.0492869741327751,-0.0410967911461526,-0.0328667351187484,-0.073790203311931,-0.0491608437184209,-0.0494067734110789,-0.0333724630957006,-0.0278655559357154,-0.0591342721523507,-0.0594181408865087,-0.0958808306857656,-0.111085040286704,-0.0323133977024739,-0.0482831857493384,-0.0647887596224917,-0.0166658973362335,-0.0331983294408861,-0.0284540241170611,-0.0204994803899828,-0.0199591939651563,-0.0418122777019511,-0.0384580430833825
1900,-0.0619462821265466,-0.0512261523428584,-0.0411145944708527,-0.0305824627851445,-0.0740809163846517,-0.0480744581234818,-0.0508900270658299,-0.0345663716744392,-0.0242919967391012,-0.0556471632229844,-0.0567429161254545,-0.1014585669377,-0.110715691642616,-0.0328659451588197,-0.0509014225024301,-0.0690311832807867,-0.0135372055011729,-0.0309897775895732,-0.0286644896045075,-0.0205047812816969,-0.0217751675535858,-0.044953727013522,-0.0439150414704484
1901,-0.0648190356604548,-0.0530902429952901,-0.0410483250417096,-0.0282241445239868,-0.0742728974124764,-0.0469228943079236,-0.05231160414723,-0.0357493799431177,-0.0206624269117409,-0.0520651224922491,-0.0539598653214125,-0.106804310953563,-0.110079355504942,-0.0333686357123808,-0.0534390359598727,-0.073130783891139,-0.0103884962658795,-0.0287306010289556,-0.0288310067371086,-0.0204884460987482,-0.023594474650503,-0.0480344851082767,-0.0493075662043549
1902,-0.0675855577651106,-0.0548764162186585,-0.0408977293712523,-0.0257957585090512,-0.0743626788075178,-0.0457009588979284,-0.0536684191307687,-0.036916409913105,-0.0169778897489373,-0.0483851029497411,-0.0510684241142814,-0.111916722478351,-0.109183404512319,-0.033819112573327,-0.0558940523806906,-0.0770877871588743,-0.00722042502302241,-0.0264204716061119,-0.0289519137357349,-0.0204490975191558,-0.0254123957466941,-0.0510524913125179,-0.0546289047254578
1903,-0.070246310602005,-0.056581842141552,-0.0406625539720097,-0.0233012829141137,-0.0743467929818888,-0.0444034585196783,-0.0549573864919359,-0.03806238359577,-0.0132394285459935,-0.0446040575850566,-0.0480680281439603,-0.116794461257063,-0.108035211303383,-0.0342150189518281,-0.0582644980239083,-0.0809024187893185,-0.00403364716527056,-0.0240590611681209,-0.0290255488212572,-0.0203853582209387,-0.0272242113329453,-0.0540056849525486,-0.0598723444741127
1904,-0.0728017563326293,-0.058203690892559,-0.0403425453565109,-0.0207446959129501,-0.0742217723477023,-0.0430251997993552,-0.0561754207062211,-0.0391822230024817,-0.00944808659821224,-0.0407189393877921,-0.0449581130503478,-0.121436187034695,-0.106642148516771,-0.0345539980580541,-0.0605483991485502,-0.0845749044877974,-0.000828818085292934,-0.0216460415620613,-0.0290502502145461,-0.020295850882116,-0.029025201900043,-0.0568920053546715,-0.0650311728906754
1905,-0.0752523571184745,-0.059739132600268,-0.0399374500372849,-0.0181299756793365,-0.0739841493170711,-0.0415609893631414,-0.0573194362491141,-0.040270850144609,-0.00560490720089653,-0.0367267013475437,-0.0417381144733428,-0.125840559556245,-0.105011588791119,-0.0348336931021746,-0.0627437820136407,-0.0881054699596366,0.0023934068242415,-0.019181084635012,-0.0290243561364723,-0.0201791981807065,-0.0308106479387732,-0.0597093918451896,-0.0700986774155013
1906,-0.0775985751210318,-0.0611853373932673,-0.0394470145268606,-0.0154611003870486,-0.073630456302108,-0.0400056338372187,-0.0583863475961046,-0.0413231870335209,-0.00171093364934926,-0.0326242964539077,-0.0384074680528442,-0.130006238566712,-0.103150904765062,-0.0350517472943595,-0.0648486728782044,-0.091494340910162,0.00563237217066377,-0.0166638622340516,-0.0289462048079063,-0.0200340227947293,-0.0325758299399222,-0.0624557837504057,-0.0750681454889462
1907,-0.0798408725017923,-0.0625394754001453,-0.0388709853377672,-0.0127420482098624,-0.073157225714926,-0.0383539398477694,-0.0593730692226822,-0.0423341556805864,0.00223279076112668,-0.0284086776964805,-0.0349656094287508,-0.133931883811093,-0.101067469077238,-0.0352058038447787,-0.0668610980012655,-0.0947417430446994,0.00888742256130492,-0.0140940462062589,-0.0288141344497189,-0.0198589474022035,-0.0343160283942764,-0.0651291203966228,-0.079932864551366
1908,-0.0819797114222471,-0.0637987167494906,-0.0382091089825335,-0.00997679732155387,-0.0725609899676378,-0.0366007140209753,-0.0602765156043366,-0.0432986780971743,0.00622522273522834,-0.0240767980648584,-0.0314119742409614,-0.137616155034384,-0.0987686543662823,-0.0352935059636019,-0.0687790836418486,-0.0978479020685746,0.0121579026034959,-0.0114713083987126,-0.0286264832827808,-0.019652594681148,-0.0360265237926218,-0.0677273411101436,-0.084686122043116
1909,-0.0840155540438874,-0.0649602315698914,-0.0374611319736886,-0.00716932589589885,-0.0718382814723564,-0.0347407629830187,-0.0610936012165576,-0.0442116762946536,0.0102653189776528,-0.0196256105486376,-0.0277459981293748,-0.141057711981585,-0.0962618332708316,-0.035312496860999,-0.0706006560589782,-0.100813043687113,0.0154431569045679,-0.00879532065849153,-0.0283815895279625,-0.0194135873095818,-0.0377025966257447,-0.070248385217271,-0.089321205404552
