"","year","model","name","anomaly"
"149",1974,"ACCESS-CM2","piControl",-0.0880762024640738
"150",1974,"ACCESS-CM2","hist_ssp585",1.2395960144126
"151",1975,"ACCESS-CM2","piControl",-1.34832842992528
"152",1975,"ACCESS-CM2","hist_ssp585",-1.70995767871725
"153",1976,"ACCESS-CM2","piControl",-0.394063135290014
"154",1976,"ACCESS-CM2","hist_ssp585",-1.66420146261158
"155",1977,"ACCESS-CM2","piControl",0.242222891500484
"156",1977,"ACCESS-CM2","hist_ssp585",0.780593045476224
"157",1978,"ACCESS-CM2","piControl",1.02813263097452
"158",1978,"ACCESS-CM2","hist_ssp585",1.3143124689007
"159",1979,"ACCESS-CM2","piControl",0.824572593081588
"160",1979,"ACCESS-CM2","hist_ssp585",0.276180614863904
"161",1980,"ACCESS-CM2","piControl",-0.00774766125204553
"162",1980,"ACCESS-CM2","hist_ssp585",-0.471655346489078
"163",1981,"ACCESS-CM2","piControl",-1.29940174581474
"164",1981,"ACCESS-CM2","hist_ssp585",0.926726504407863
"165",1982,"ACCESS-CM2","piControl",0.452596203412151
"166",1982,"ACCESS-CM2","hist_ssp585",1.42522201732746
"167",1983,"ACCESS-CM2","piControl",-0.234010776532583
"168",1983,"ACCESS-CM2","hist_ssp585",1.35506139735504
"169",1984,"ACCESS-CM2","piControl",-1.54701906424527
"170",1984,"ACCESS-CM2","hist_ssp585",0.780530610468104
"171",1985,"ACCESS-CM2","piControl",-0.16911484814254
"172",1985,"ACCESS-CM2","hist_ssp585",0.217451364609209
"173",1986,"ACCESS-CM2","piControl",-1.27929833169638
"174",1986,"ACCESS-CM2","hist_ssp585",0.242750029899978
"175",1987,"ACCESS-CM2","piControl",-1.24444890119791
"176",1987,"ACCESS-CM2","hist_ssp585",-1.58932844033388
"177",1988,"ACCESS-CM2","piControl",-2.16756930575893
"178",1988,"ACCESS-CM2","hist_ssp585",-0.776145117865345
"179",1989,"ACCESS-CM2","piControl",-1.31882910157121
"180",1989,"ACCESS-CM2","hist_ssp585",0.334747534097482
"181",1990,"ACCESS-CM2","piControl",-1.04994918022437
"182",1990,"ACCESS-CM2","hist_ssp585",0.699355494524495
"183",1991,"ACCESS-CM2","piControl",-1.4146664540297
"184",1991,"ACCESS-CM2","hist_ssp585",1.21893386887878
"185",1992,"ACCESS-CM2","piControl",-0.188515453388289
"186",1992,"ACCESS-CM2","hist_ssp585",-0.175745105767272
"187",1993,"ACCESS-CM2","piControl",-1.32358096502128
"188",1993,"ACCESS-CM2","hist_ssp585",0.735541864693035
"189",1994,"ACCESS-CM2","piControl",-1.30793921184274
"190",1994,"ACCESS-CM2","hist_ssp585",1.28713114798043
"191",1995,"ACCESS-CM2","piControl",-2.43250474270658
"192",1995,"ACCESS-CM2","hist_ssp585",0.594195730076424
"193",1996,"ACCESS-CM2","piControl",-1.47486888372034
"194",1996,"ACCESS-CM2","hist_ssp585",1.45014991472384
"195",1997,"ACCESS-CM2","piControl",-0.931895123300483
"196",1997,"ACCESS-CM2","hist_ssp585",0.265058538571027
"197",1998,"ACCESS-CM2","piControl",-0.581704998060275
"198",1998,"ACCESS-CM2","hist_ssp585",-0.480263693301133
"199",1999,"ACCESS-CM2","piControl",1.11626907883122
"200",1999,"ACCESS-CM2","hist_ssp585",-0.436240288805481
"201",2000,"ACCESS-CM2","piControl",-0.341441638213686
"202",2000,"ACCESS-CM2","hist_ssp585",0.612479582070113
"203",2001,"ACCESS-CM2","piControl",-0.518675931070013
"204",2001,"ACCESS-CM2","hist_ssp585",0.593133374399775
"205",2002,"ACCESS-CM2","piControl",-1.34572795603449
"206",2002,"ACCESS-CM2","hist_ssp585",-0.752867425760535
"207",2003,"ACCESS-CM2","piControl",-1.84570229702256
"208",2003,"ACCESS-CM2","hist_ssp585",1.25636605759399
"209",2004,"ACCESS-CM2","piControl",-0.577164706831368
"210",2004,"ACCESS-CM2","hist_ssp585",-0.516132125197549
"211",2005,"ACCESS-CM2","piControl",-0.107107164288936
"212",2005,"ACCESS-CM2","hist_ssp585",-0.646254366431118
"213",2006,"ACCESS-CM2","piControl",-0.802901728734372
"214",2006,"ACCESS-CM2","hist_ssp585",-0.415378351245674
"215",2007,"ACCESS-CM2","piControl",-1.09482113540669
"216",2007,"ACCESS-CM2","hist_ssp585",-0.3926452845194
"217",2008,"ACCESS-CM2","piControl",-2.72109897983399
"218",2008,"ACCESS-CM2","hist_ssp585",0.629337994801461
"219",2009,"ACCESS-CM2","piControl",-1.06007384322188
"220",2009,"ACCESS-CM2","hist_ssp585",-0.71058451718359
"221",2010,"ACCESS-CM2","piControl",-1.0513661466711
"222",2010,"ACCESS-CM2","hist_ssp585",-1.35357096805194
"223",2011,"ACCESS-CM2","piControl",-2.18845172717437
"224",2011,"ACCESS-CM2","hist_ssp585",0.567570560997724
"225",2012,"ACCESS-CM2","piControl",0.360692797272867
"226",2012,"ACCESS-CM2","hist_ssp585",1.23910421865632
"227",2013,"ACCESS-CM2","piControl",0.136018500204908
"228",2013,"ACCESS-CM2","hist_ssp585",1.420024543036
"229",2014,"ACCESS-CM2","piControl",-0.207060852912469
"230",2014,"ACCESS-CM2","hist_ssp585",2.52383226238493
"231",2015,"ACCESS-CM2","piControl",0.0669316584684178
"232",2015,"ACCESS-CM2","hist_ssp585",2.88467106939859
"233",2016,"ACCESS-CM2","piControl",-0.310338900459366
"234",2016,"ACCESS-CM2","hist_ssp585",0.715061260952065
"235",2017,"ACCESS-CM2","piControl",-0.49946744312854
"236",2017,"ACCESS-CM2","hist_ssp585",1.02372361194801
"237",2018,"ACCESS-CM2","piControl",0.145494665972794
"238",2018,"ACCESS-CM2","hist_ssp585",1.05397097203633
"239",2019,"ACCESS-CM2","piControl",-0.215100597316738
"240",2019,"ACCESS-CM2","hist_ssp585",2.28049133796271
"241",2020,"ACCESS-CM2","piControl",-0.627745058877453
"242",2020,"ACCESS-CM2","hist_ssp585",2.19919423361862
"243",2021,"ACCESS-CM2","piControl",0.736081903613201
"244",2021,"ACCESS-CM2","hist_ssp585",1.11776514225755
"245",2022,"ACCESS-CM2","piControl",1.07123418871996
"246",2022,"ACCESS-CM2","hist_ssp585",-0.885695504192224
"247",2023,"ACCESS-CM2","piControl",-0.596831195941263
"248",2023,"ACCESS-CM2","hist_ssp585",1.79615416380787
"249",2024,"ACCESS-CM2","piControl",-0.168772765853912
"250",2024,"ACCESS-CM2","hist_ssp585",0.709624612552576
"251",2025,"ACCESS-CM2","piControl",-0.713200781311199
"252",2025,"ACCESS-CM2","hist_ssp585",1.3281759223194
"253",2026,"ACCESS-CM2","piControl",-0.298986145833255
"254",2026,"ACCESS-CM2","hist_ssp585",2.34210700666978
"255",2027,"ACCESS-CM2","piControl",-1.51606142774607
"256",2027,"ACCESS-CM2","hist_ssp585",2.87143676875404
"257",2028,"ACCESS-CM2","piControl",-1.0516660766398
"258",2028,"ACCESS-CM2","hist_ssp585",4.13578602583184
"259",2029,"ACCESS-CM2","piControl",-0.816747955208388
"260",2029,"ACCESS-CM2","hist_ssp585",3.11523394900484
"261",2030,"ACCESS-CM2","piControl",-2.11454087667101
"262",2030,"ACCESS-CM2","hist_ssp585",1.50591494290065
"263",2031,"ACCESS-CM2","piControl",-0.37289780695815
"264",2031,"ACCESS-CM2","hist_ssp585",1.90150795705041
"265",2032,"ACCESS-CM2","piControl",-1.27731555141681
"266",2032,"ACCESS-CM2","hist_ssp585",2.59529345160345
"267",2033,"ACCESS-CM2","piControl",-0.648389157561007
"268",2033,"ACCESS-CM2","hist_ssp585",3.65874414224133
"269",2034,"ACCESS-CM2","piControl",-0.41148014963465
"270",2034,"ACCESS-CM2","hist_ssp585",2.89826941416742
"271",2035,"ACCESS-CM2","piControl",0.490137708035102
"272",2035,"ACCESS-CM2","hist_ssp585",5.09261213067727
"273",2036,"ACCESS-CM2","piControl",0.373276886013725
"274",2036,"ACCESS-CM2","hist_ssp585",4.49450588472372
"275",2037,"ACCESS-CM2","piControl",-0.628698349805002
"276",2037,"ACCESS-CM2","hist_ssp585",3.21630277961308
"277",2038,"ACCESS-CM2","piControl",0.513949715685372
"278",2038,"ACCESS-CM2","hist_ssp585",1.8425452959192
"279",2039,"ACCESS-CM2","piControl",-0.811465945273098
"280",2039,"ACCESS-CM2","hist_ssp585",2.38598440930029
"281",2040,"ACCESS-CM2","piControl",-0.583457561823335
"282",2040,"ACCESS-CM2","hist_ssp585",2.55989184146006
"283",2041,"ACCESS-CM2","piControl",-0.316819009026387
"284",2041,"ACCESS-CM2","hist_ssp585",3.29678918939018
"285",2042,"ACCESS-CM2","piControl",1.96570560691925
"286",2042,"ACCESS-CM2","hist_ssp585",2.59697439412979
"287",2043,"ACCESS-CM2","piControl",0.500734152767165
"288",2043,"ACCESS-CM2","hist_ssp585",3.22800213959644
"289",2044,"ACCESS-CM2","piControl",-1.56371219355733
"290",2044,"ACCESS-CM2","hist_ssp585",3.9654508366752
"291",2045,"ACCESS-CM2","piControl",0.673056889730625
"292",2045,"ACCESS-CM2","hist_ssp585",3.91582653168177
"293",2046,"ACCESS-CM2","piControl",-0.347274870794155
"294",2046,"ACCESS-CM2","hist_ssp585",3.80675833572531
"295",2047,"ACCESS-CM2","piControl",-0.237517525301776
"296",2047,"ACCESS-CM2","hist_ssp585",1.33047353061827
"297",2048,"ACCESS-CM2","piControl",0.433498770621253
"298",2048,"ACCESS-CM2","hist_ssp585",3.05432139454307
"299",2049,"ACCESS-CM2","piControl",0.946544383893943
"300",2049,"ACCESS-CM2","hist_ssp585",4.84236589435683
"301",2050,"ACCESS-CM2","piControl",0.77221292676172
"302",2050,"ACCESS-CM2","hist_ssp585",4.65439521675237
"303",2051,"ACCESS-CM2","piControl",0.339092975797155
"304",2051,"ACCESS-CM2","hist_ssp585",3.60983447795625
"305",2052,"ACCESS-CM2","piControl",-0.830985711884791
"306",2052,"ACCESS-CM2","hist_ssp585",4.77846318327534
"307",2053,"ACCESS-CM2","piControl",0.128553486470395
"308",2053,"ACCESS-CM2","hist_ssp585",5.69394962843575
"309",2054,"ACCESS-CM2","piControl",-0.7923466257007
"310",2054,"ACCESS-CM2","hist_ssp585",5.636930136865
"311",2055,"ACCESS-CM2","piControl",0.0040687688932467
"312",2055,"ACCESS-CM2","hist_ssp585",5.62665717668257
"313",2056,"ACCESS-CM2","piControl",-0.866312598468576
"314",2056,"ACCESS-CM2","hist_ssp585",5.72587600997325
"315",2057,"ACCESS-CM2","piControl",-0.0421861066312451
"316",2057,"ACCESS-CM2","hist_ssp585",5.76886011171833
"317",2058,"ACCESS-CM2","piControl",-1.12721195078335
"318",2058,"ACCESS-CM2","hist_ssp585",5.82546369008113
"319",2059,"ACCESS-CM2","piControl",-0.317786080520064
"320",2059,"ACCESS-CM2","hist_ssp585",6.09832484688171
"321",2060,"ACCESS-CM2","piControl",0.418484438512373
"322",2060,"ACCESS-CM2","hist_ssp585",6.69333815858679
"323",2061,"ACCESS-CM2","piControl",-0.156170843439238
"324",2061,"ACCESS-CM2","hist_ssp585",6.92316046294287
"325",2062,"ACCESS-CM2","piControl",-1.62248306561357
"326",2062,"ACCESS-CM2","hist_ssp585",7.24660838440053
"327",2063,"ACCESS-CM2","piControl",-0.209946665584298
"328",2063,"ACCESS-CM2","hist_ssp585",6.76887683410493
"329",2064,"ACCESS-CM2","piControl",-0.871862113511085
"330",2064,"ACCESS-CM2","hist_ssp585",6.77986731661145
"331",2065,"ACCESS-CM2","piControl",0.499563615267693
"332",2065,"ACCESS-CM2","hist_ssp585",5.82128342615276
"333",2066,"ACCESS-CM2","piControl",0.835588129148296
"334",2066,"ACCESS-CM2","hist_ssp585",6.07129048836517
"335",2067,"ACCESS-CM2","piControl",-0.281849606540432
"336",2067,"ACCESS-CM2","hist_ssp585",7.11459964538311
"337",2068,"ACCESS-CM2","piControl",0.185803632523169
"338",2068,"ACCESS-CM2","hist_ssp585",6.32323303582934
"339",2069,"ACCESS-CM2","piControl",0.698242900886159
"340",2069,"ACCESS-CM2","hist_ssp585",6.78406679131156
"341",2070,"ACCESS-CM2","piControl",-1.7029145557608
"342",2070,"ACCESS-CM2","hist_ssp585",7.39032704932576
"343",2071,"ACCESS-CM2","piControl",-1.26196886447775
"344",2071,"ACCESS-CM2","hist_ssp585",6.41384160123079
"345",2072,"ACCESS-CM2","piControl",-1.41131696583869
"346",2072,"ACCESS-CM2","hist_ssp585",7.62255838445673
"347",2073,"ACCESS-CM2","piControl",-0.211984568128393
"348",2073,"ACCESS-CM2","hist_ssp585",6.73324661577796
"349",2074,"ACCESS-CM2","piControl",-2.22404287637923
"350",2074,"ACCESS-CM2","hist_ssp585",7.66747316876063
"351",2075,"ACCESS-CM2","piControl",0.36332569602514
"352",2075,"ACCESS-CM2","hist_ssp585",7.1457239772009
"353",2076,"ACCESS-CM2","piControl",0.023296711751608
"354",2076,"ACCESS-CM2","hist_ssp585",7.10654168718111
"355",2077,"ACCESS-CM2","piControl",-0.660821660074442
"356",2077,"ACCESS-CM2","hist_ssp585",6.996666638812
"357",2078,"ACCESS-CM2","piControl",0.264497150095004
"358",2078,"ACCESS-CM2","hist_ssp585",9.16128837037893
"359",2079,"ACCESS-CM2","piControl",-0.723602676874374
"360",2079,"ACCESS-CM2","hist_ssp585",8.45787155541923
"361",2080,"ACCESS-CM2","piControl",0.970886538029429
"362",2080,"ACCESS-CM2","hist_ssp585",8.83047023634719
"363",2081,"ACCESS-CM2","piControl",0.629764835923979
"364",2081,"ACCESS-CM2","hist_ssp585",7.45303388986707
"365",2082,"ACCESS-CM2","piControl",0.0226384870635398
"366",2082,"ACCESS-CM2","hist_ssp585",7.18981077724325
"367",2083,"ACCESS-CM2","piControl",-0.41705965767403
"368",2083,"ACCESS-CM2","hist_ssp585",7.55159667530318
"369",2084,"ACCESS-CM2","piControl",0.58730934354355
"370",2084,"ACCESS-CM2","hist_ssp585",9.01521638591682
"371",2085,"ACCESS-CM2","piControl",-0.744804483175403
"372",2085,"ACCESS-CM2","hist_ssp585",9.0900769211929
"373",2086,"ACCESS-CM2","piControl",0.915795077129768
"374",2086,"ACCESS-CM2","hist_ssp585",9.1518328285336
"375",2087,"ACCESS-CM2","piControl",1.36855395607197
"376",2087,"ACCESS-CM2","hist_ssp585",8.73534425797351
"377",2088,"ACCESS-CM2","piControl",-0.948401809659033
"378",2088,"ACCESS-CM2","hist_ssp585",7.95693531395138
"379",2089,"ACCESS-CM2","piControl",-2.13416845594713
"380",2089,"ACCESS-CM2","hist_ssp585",7.88160315422935
"381",2090,"ACCESS-CM2","piControl",-1.94706241401284
"382",2090,"ACCESS-CM2","hist_ssp585",7.99291324724666
"383",2091,"ACCESS-CM2","piControl",-1.09056294047267
"384",2091,"ACCESS-CM2","hist_ssp585",8.50677449593421
"385",2092,"ACCESS-CM2","piControl",-0.560043569347748
"386",2092,"ACCESS-CM2","hist_ssp585",7.67986027437191
"387",2093,"ACCESS-CM2","piControl",-0.746607305473759
"388",2093,"ACCESS-CM2","hist_ssp585",8.35540322009048
"389",2094,"ACCESS-CM2","piControl",0.241927014639469
"390",2094,"ACCESS-CM2","hist_ssp585",9.04654627299211
"391",2095,"ACCESS-CM2","piControl",0.125254256814681
"392",2095,"ACCESS-CM2","hist_ssp585",9.89735869458609
"393",2096,"ACCESS-CM2","piControl",-0.232811056657777
"394",2096,"ACCESS-CM2","hist_ssp585",8.33855729436076
"395",2097,"ACCESS-CM2","piControl",0.2496814202627
"396",2097,"ACCESS-CM2","hist_ssp585",8.5955186559393
"397",2098,"ACCESS-CM2","piControl",0.293960811101448
"398",2098,"ACCESS-CM2","hist_ssp585",10.6437519269822
"399",2099,"ACCESS-CM2","piControl",-0.922312766111247
"400",2099,"ACCESS-CM2","hist_ssp585",11.9082174092289
"401",1900,"CESM2-WACCM","piControl",-0.0587635810433252
"402",1900,"CESM2-WACCM","hist_ssp585",0.48585817288009
"403",1901,"CESM2-WACCM","piControl",0.069347179990663
"404",1901,"CESM2-WACCM","hist_ssp585",0.613091411903424
"405",1902,"CESM2-WACCM","piControl",-0.786306517407629
"406",1902,"CESM2-WACCM","hist_ssp585",-1.4363827658507
"407",1903,"CESM2-WACCM","piControl",-1.29097677373151
"408",1903,"CESM2-WACCM","hist_ssp585",-0.613052853621792
"409",1904,"CESM2-WACCM","piControl",0.390606441878426
"410",1904,"CESM2-WACCM","hist_ssp585",0.582049343834633
"411",1905,"CESM2-WACCM","piControl",-0.244998077447262
"412",1905,"CESM2-WACCM","hist_ssp585",-0.738877086675879
"413",1906,"CESM2-WACCM","piControl",-1.8953061663918
"414",1906,"CESM2-WACCM","hist_ssp585",-1.07550679345205
"415",1907,"CESM2-WACCM","piControl",-1.38368025080665
"416",1907,"CESM2-WACCM","hist_ssp585",-1.83324672028224
"417",1908,"CESM2-WACCM","piControl",-1.16535002795222
"418",1908,"CESM2-WACCM","hist_ssp585",-2.9087061302271
"419",1909,"CESM2-WACCM","piControl",-0.210793229044906
"420",1909,"CESM2-WACCM","hist_ssp585",-1.22409859339099
"421",1910,"CESM2-WACCM","piControl",0.932300188844482
"422",1910,"CESM2-WACCM","hist_ssp585",-0.51511178815705
"423",1911,"CESM2-WACCM","piControl",-0.450010562841983
"424",1911,"CESM2-WACCM","hist_ssp585",0.271088544191827
"425",1912,"CESM2-WACCM","piControl",0.509324737182736
"426",1912,"CESM2-WACCM","hist_ssp585",-0.0719983490799866
"427",1913,"CESM2-WACCM","piControl",1.638830355585
"428",1913,"CESM2-WACCM","hist_ssp585",0.694372875607007
"429",1914,"CESM2-WACCM","piControl",-0.00790027930490565
"430",1914,"CESM2-WACCM","hist_ssp585",0.961499954064477
"431",1915,"CESM2-WACCM","piControl",0.031657906612533
"432",1915,"CESM2-WACCM","hist_ssp585",-1.12277515606995
"433",1916,"CESM2-WACCM","piControl",1.06166684244296
"434",1916,"CESM2-WACCM","hist_ssp585",-0.843581380793024
"435",1917,"CESM2-WACCM","piControl",0.434893143139557
"436",1917,"CESM2-WACCM","hist_ssp585",-0.823440170733649
"437",1918,"CESM2-WACCM","piControl",1.3867972248059
"438",1918,"CESM2-WACCM","hist_ssp585",0.0571802272170254
"439",1919,"CESM2-WACCM","piControl",0.651166312556405
"440",1919,"CESM2-WACCM","hist_ssp585",-0.738731640898408
"441",1920,"CESM2-WACCM","piControl",0.792226165968984
"442",1920,"CESM2-WACCM","hist_ssp585",-0.0771397058075694
"443",1921,"CESM2-WACCM","piControl",1.48647232882001
