"model","warming","year","UCI","LCI"
"CMCC-CM2-SR5",1.5,2020.64017539154,2023.04705373937,2018.31634913119
"CMCC-CM2-SR5",2,2035.9264725786,2039.05858530774,2033.1582331258
"CMCC-ESM2",0.5,1993.02092266993,1996.16414184376,1989.72843580763
"CMCC-ESM2",1,2009.36202148737,2012.35847068286,2006.60555613829
"CMCC-ESM2",1.5,2024.78116128571,2028.46542766718,2021.33795598095
"CMCC-ESM2",2,2038.6196976626,2043.56708277198,2034.87201839695
"GISS-E2-1-G",0.5,2005.65905389779,2008.9469231215,2002.72201371086
"GISS-E2-1-G",1,2022.61251171635,2025.72248988574,2019.5350301999
"GISS-E2-1-G",1.5,2041.95219677853,2044.61977048036,2039.15564840446
"GISS-E2-1-G",2,2068.45372954631,2070.76394054267,2065.9710132344
"HadGEM3-GC31-LL",0.5,2003.79498833408,2006.58649125513,2001.65099849125
"HadGEM3-GC31-LL",1,2015.59595477871,2017.81935144152,2013.38058082093
"HadGEM3-GC31-LL",1.5,2028.17370265397,2030.16709003598,2026.09507811336
"HadGEM3-GC31-LL",2,2042.60810262497,2044.5235565111,2040.50908012712
"INM-CM4-8",0.5,2003.3313072362,2006.60346539663,1999.78475746131
"INM-CM4-8",1,2027.43852696059,2030.91368718753,2023.68032961977
"INM-CM4-8",1.5,2052.10081998058,2055.26595450704,2047.64747982231
"INM-CM4-8",2,2079.96250827667,2083.86090543246,2076.37905195705
"INM-CM5-0",0.5,1999.72433331684,2002.85183847414,1996.63286590988
"INM-CM5-0",1,2022.76451223271,2026.51014344791,2018.79244225168
"INM-CM5-0",1.5,2048.51166959299,2051.58503428868,2045.21163148419
"INM-CM5-0",2,2078.90432865571,2082.64689962925,2075.4026751002
"MIROC-ES2L",0.5,2004.96107485266,2007.86904243495,2002.42322917832
"MIROC-ES2L",1,2022.69744363722,2025.12049348739,2020.22241608034
"MIROC-ES2L",1.5,2042.50685758949,2044.88908163267,2039.94441554937
"MIROC-ES2L",2,2067.28259769498,2069.55166055966,2065.16550760389
"MIROC6",0.5,2012.63258862468,2016.14274403587,2009.47709768476
"MIROC6",1,2030.33000204165,2033.63035413154,2026.71582461339
"MIROC6",1.5,2054.0340324088,2056.89833390014,2050.7247168307
"MIROC6",2,2084.95282227117,2087.8384676915,2082.16433924219
"NorESM2-LM",0.5,2008.66047645561,2011.80342586771,2005.00143576121
"NorESM2-LM",1,2025.44654373649,2028.13082526807,2022.51040615553
"NorESM2-LM",1.5,2045.33034627845,2047.90315455606,2042.80461688739
"NorESM2-LM",2,2065.26573590577,2068.03208830895,2062.71076688568
"NorESM2-MM",0.5,2010.62425023799,2013.62119106989,2007.90185478204
"NorESM2-MM",1,2026.47543266933,2029.16439620226,2023.75283675062
"NorESM2-MM",1.5,2044.21400291111,2046.83071834623,2041.60849703284
"NorESM2-MM",2,2064.54321720582,2066.808904133,2061.97277865295
"UKESM1-0-LL",0.5,2006.8312248248,2008.42615698907,2005.34416249585
"UKESM1-0-LL",1,2018.63594166245,2020.45130694864,2017.0886198363
"UKESM1-0-LL",1.5,2029.75477396657,2031.40111792769,2028.12160506076
"UKESM1-0-LL",2,2041.1048410618,2042.7258489106,2039.33163850043
