"year","model","pred_mean","lower","upper"
1973,NA,-0.0892795149892218,-0.197507946039009,0.01259880778012
1974,NA,-0.0896303045376392,-0.197630113865503,0.0117047410375892
1975,NA,-0.0888986341654787,-0.196969339293152,0.0125712789328578
1976,NA,-0.0870366678231736,-0.195360203030276,0.0149924786574384
1977,NA,-0.0840012326999265,-0.191760787677261,0.0185313949867493
1978,NA,-0.0797540031367897,-0.187355994301708,0.0220042269527639
1979,NA,-0.0742616500619668,-0.181734477467781,0.0279838995707906
1980,NA,-0.0674959552703089,-0.175226603879316,0.0349903503191911
1981,NA,-0.0594338901368545,-0.167001225009711,0.0430046422654492
1982,NA,-0.0500576586224346,-0.157946874831811,0.0521559993128208
1983,NA,-0.039354704695963,-0.14747506523336,0.0628905363793232
1984,NA,-0.0273176845610142,-0.135343333736133,0.0748271292120446
1985,NA,-0.0139444043313113,-0.122173241574,0.088872486218586
1986,NA,0.000762275950609696,-0.107324896874974,0.103713569461644
1987,NA,0.0167945708175135,-0.0912601611770632,0.119575645344717
1988,NA,0.0341399290416006,-0.0742573547788682,0.136734954223674
1989,NA,0.0527812228804061,-0.0552819376238373,0.155366968244348
1990,NA,0.0726969651251722,-0.0354842827464511,0.175122198140782
1991,NA,0.0938615519873333,-0.0148482919262542,0.196004982867827
1992,NA,0.116245529690995,0.00775754870424549,0.218247326300138
1993,NA,0.139815882489871,0.0317180298650433,0.241782073274142
1994,NA,0.164536339697204,0.0567256393665916,0.266602100931895
1995,NA,0.190367699207011,0.0833966980331561,0.292131919251213
1996,NA,0.217268164896295,0.110001091627058,0.319215021261004
1997,NA,0.245193695229592,0.137934954013705,0.347006309225775
1998,NA,0.274098360341133,0.166801986613628,0.375667867470755
1999,NA,0.303934704845155,0.196266713555035,0.405622385429513
2000,NA,0.334654113621667,0.226228931366809,0.436086367966758
2001,NA,0.366207177843236,0.257796782503381,0.467692782881193
2002,NA,0.398544058547547,0.290408212210867,0.499800689737325
2003,NA,0.431614845119848,0.32406568747606,0.532903315498188
2004,NA,0.465369906128572,0.358012269332534,0.566925247754688
2005,NA,0.499760230055317,0.392597938386518,0.60131582294481
2006,NA,0.534737753575882,0.427300210544827,0.636183404920814
2007,NA,0.570255675181385,0.462801239325254,0.671737986571705
2008,NA,0.60626875207586,0.499194143566049,0.707807656838273
2009,NA,0.642733578448294,0.535901231135241,0.744397591817251
2010,NA,0.679608843391001,0.572743197262425,0.781675460894345
2011,NA,0.716855566921067,0.609938588848613,0.819178202561206
2012,NA,0.754437312755844,0.647749064265793,0.856979828547609
2013,NA,0.792320376695114,0.68562941489632,0.89488497506102
2014,NA,0.830473949670491,0.723786276034624,0.93259115732152
2015,NA,0.868870254734335,0.762190023351012,0.970947635623917
2016,NA,0.907484657474634,0.801050241371495,1.00983097866933
2017,NA,0.946295749557575,0.839603536558648,1.0484043555684
2018,NA,0.985285405313034,0.878753678546992,1.08707883708441
2019,NA,1.02443881148946,0.918004031663375,1.12555979172553
2020,NA,1.06374447051124,0.95700260257771,1.16494094434498
2021,NA,1.10319417777217,0.99626901173092,1.20403531101255
2022,NA,1.1427829736917,1.03605733632058,1.24388826038088
2023,NA,1.18250907144464,1.07617045458748,1.28349684620688
2024,NA,1.22237376144855,1.11619397384562,1.32291108590422
2025,NA,1.26238129385515,1.15595094899642,1.36290642146842
2026,NA,1.30253874044118,1.19649746189317,1.40349265287933
2027,NA,1.34285583742982,1.23652199284449,1.44409545020625
2028,NA,1.38334481089425,1.27731144093844,1.48472497033877
2029,NA,1.4240201865006,1.31805765492528,1.52541931456584
2030,NA,1.46489858543682,1.35887825757018,1.56579442046812
2031,NA,1.50599850844644,1.39976183132911,1.6074584489542
2032,NA,1.54734010994282,1.44146057522807,1.64897192897289
2033,NA,1.58894496421772,1.482440485684,1.69043171726453
2034,NA,1.63083582578033,1.52399518111318,1.73241009627414
2035,NA,1.67303638586759,1.56622513581831,1.77457793196251
2036,NA,1.71557102715447,1.60856352473265,1.81710999436432
2037,NA,1.75846457866532,1.65079038805342,1.85990571328072
2038,NA,1.8017420728423,1.69354769904278,1.9031887704151
2039,NA,1.84542850666862,1.73696784551511,1.94690199259279
2040,NA,1.88954860866938,1.78105098959368,1.99143861945748
