year,month,npgo
2009,3,0.351
2009,4,0.426
2009,5,0.567
2009,6,0.378
2009,7,0.567
2009,8,0.722
2009,9,0.975
2009,10,1.152
2009,11,1.049
2009,12,1.068
2010,1,2.043
2010,2,1.829
2010,3,1.649
2010,4,1.176
2010,5,1.868
2010,6,1.235
2010,7,1.151
2010,8,1.092
2010,9,1.008
2010,10,1.603
2010,11,0.978
2010,12,0.771
2011,1,0.322
2011,2,0.567
2011,3,1.206
2011,4,0.603
2011,5,1.397
2011,6,1.120
2011,7,1.044
2011,8,1.040
2011,9,1.325
2011,10,1.203
2011,11,0.383
2011,12,0.147
2012,1,0.843
2012,2,0.864
2012,3,1.125
2012,4,1.923
2012,5,1.618
2012,6,1.943
2012,7,1.863
2012,8,1.738
2012,9,1.362
2012,10,1.881
2012,11,1.394
2012,12,1.208
2013,1,1.230
2013,2,1.215
2013,3,0.647
2013,4,0.485
2013,5,0.856
2013,6,0.730
2013,7,0.460
2013,8,0.572
2013,9,0.390
2013,10,-0.141
2013,11,-0.797
2013,12,-1.440
2014,1,-0.387
2014,2,-0.257
2014,3,-0.445
2014,4,-0.609
2014,5,0.228
2014,6,-0.417
2014,7,-0.135
2014,8,-0.554
2014,9,-0.782
2014,10,0.416
2014,11,0.301
2014,12,-0.366
2015,1,-0.568
2015,2,-1.289
2015,3,-1.399
2015,4,-1.382
2015,5,-0.721
2015,6,-1.248
2015,7,-1.468
2015,8,-1.925
2015,9,-2.098
2015,10,-1.309
2015,11,-2.234
2015,12,-1.106
2016,1,0.913
2016,2,0.215
2016,3,0.458
2016,4,-0.403
2016,5,-0.686
2016,6,-0.962
2016,7,-0.496
2016,8,-0.546
2016,9,-0.780
2016,10,0.336
2016,11,1.137
2016,12,-1.542
2017,1,-0.263
2017,2,-0.665
2017,3,-0.889
2017,4,-0.116
2017,5,-0.454
2017,6,-0.292
2017,7,-0.444
2017,8,-0.532
2017,9,-0.529
2017,10,-1.402
2017,11,-2.061
2017,12,-2.694
2018,1,-1.500
2018,2,-2.227
2018,3,-2.030
2018,4,-2.059
2018,5,-1.921
2018,6,-1.937
2018,7,-1.567
2018,8,-2.122
2018,9,-2.324
2018,10,-2.341
2018,11,-1.770
2018,12,-1.093
2019,1,-0.864
2019,2,-2.561
2019,3,-1.992
2019,4,-2.165
2019,5,-1.857
2019,6,-2.354
2019,7,-2.161
2019,8,-2.055
2019,9,-2.520
2019,10,-2.577
2019,11,-3.371
2019,12,-2.542
2020,1,-1.520
2020,2,-2.322
2020,3,-1.834
2020,4,-1.872
2020,5,-1.360
2020,6,-1.777
2020,7,-1.840
2020,8,-1.203
2020,9,-1.249
2020,10,-1.477
2020,11,-2.828
2020,12,-1.812
2021,1,-0.534
2021,2,-1.203
2021,3,-0.763
2021,4,-1.885
2021,5,-0.740
2021,6,-0.264
2021,7,-0.523
2021,8,-0.707
2021,9,-0.741
2021,10,-0.343
2021,11,-0.265
2021,12,-2.084
2022,1,-1.407
